column_name,mean,std,min,max,missing_count
Air Temperature,12.61207681104808,10.442059167119279,-29.78,37.6,75
Wet Bulb Temperature,10.265718721976818,9.409095764090843,-28.9,28.4,76017
Humidity,68.02078359709446,15.630735608144837,0.0,100.0,0
Rain Intensity,0.15883456773722143,1.7935054644344817,0.0,183.6,76017
Interval Rain,0.14226695443693912,1.0965386730202258,-0.9,63.42,0
Total Rain,141.43604570062107,190.41435164153833,0.0,1056.1,76017
Precipitation Type,4.268200538045103,15.591086447761912,0.0,70.0,76017
Wind Direction,140.7989188253679,122.03133020055948,0.0,359.0,0
Wind Speed,2.9185260596682157,5.340040537907938,0.0,999.9,0
Maximum Wind Speed,3.5558571261319503,5.953454372499709,0.0,999.9,0
Barometric Pressure,994.314602128299,10.02749665641515,0.0,3098.5,146
Solar Radiation,112.29846833593786,842.5127220799449,-100000.0,1277.0,0
Heading,282.01048689760535,142.74173305689052,0.0,359.0,76017
Battery Life,13.16349203117285,1.5446428071399319,0.0,15.3,0
